OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,35,58, 507381)), ('pm1_cf', 33), ('pm25_cf', 63), ('pm10_cf', 72), ('pm1', 27), ('pm25', 47), ('pm10', 61)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,36,59, 521324)), ('pm1_cf', 33), ('pm25_cf', 61), ('pm10_cf', 69), ('pm1', 27), ('pm25', 46), ('pm10', 59)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,38,0, 140542)), ('pm1_cf', 34), ('pm25_cf', 72), ('pm10_cf', 74), ('pm1', 28), ('pm25', 51), ('pm10', 62)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,39,1, 387632)), ('pm1_cf', 32), ('pm25_cf', 62), ('pm10_cf', 73), ('pm1', 27), ('pm25', 46), ('pm10', 61)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,40,2, 777575)), ('pm1_cf', 32), ('pm25_cf', 61), ('pm10_cf', 70), ('pm1', 27), ('pm25', 46), ('pm10', 60)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,41,3, 596335)), ('pm1_cf', 30), ('pm25_cf', 57), ('pm10_cf', 60), ('pm1', 26), ('pm25', 44), ('pm10', 54)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,42,4, 625700)), ('pm1_cf', 33), ('pm25_cf', 62), ('pm10_cf', 71), ('pm1', 27), ('pm25', 46), ('pm10', 60)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,43,5, 458921)), ('pm1_cf', 33), ('pm25_cf', 64), ('pm10_cf', 69), ('pm1', 27), ('pm25', 47), ('pm10', 59)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,44,6, 346088)), ('pm1_cf', 32), ('pm25_cf', 60), ('pm10_cf', 69), ('pm1', 27), ('pm25', 46), ('pm10', 59)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,45,7, 324951)), ('pm1_cf', 30), ('pm25_cf', 62), ('pm10_cf', 65), ('pm1', 25), ('pm25', 46), ('pm10', 56)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,46,8, 376457)), ('pm1_cf', 32), ('pm25_cf', 69), ('pm10_cf', 81), ('pm1', 27), ('pm25', 49), ('pm10', 65)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,47,9, 340053)), ('pm1_cf', 35), ('pm25_cf', 69), ('pm10_cf', 84), ('pm1', 28), ('pm25', 49), ('pm10', 66)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,48,10, 183861)), ('pm1_cf', 35), ('pm25_cf', 64), ('pm10_cf', 71), ('pm1', 28), ('pm25', 47), ('pm10', 60)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,49,10, 883338)), ('pm1_cf', 33), ('pm25_cf', 64), ('pm10_cf', 74), ('pm1', 27), ('pm25', 47), ('pm10', 62)])
OrderedDict([('DateTime', datetime.datetime(2020,10,21,16,50,12, 351341)), ('pm1_cf', 33), ('pm25_cf', 64), ('pm10_cf', 76), ('pm1', 27), ('pm25', 47), ('pm10', 62)])
